id	position_x	position_y	type	title	txt_length	log_length
S001	1750.3344	532.6591	racconto	Passatempi	2164	72.71
S002	-388.73242	2071.4656	racconto	Dieci soldi in plastilina	4066	123.03
S003	-1357.9033	-1232.2579	racconto	Invece era un'altra	986	10
S004	167.60992	1282.9219	racconto	Angoscia in caserma	19473	248
S005	-373.8956	1009.51105	racconto	Andato al comando	10457	198.4
S006	-571.11127	1420.9703	racconto	Di padre in figlio	8291	179.88
S007	-481.71014	1035.5128	racconto	Paura sul sentiero	13175	216.83
S008	1841.1644	858.3548	racconto	E il settimo si riposò	12532	212.84
S009	-480.3955	834.0036	racconto	Uomo nei gerbidi	9042	186.8
S010	-367.21783	765.70404	racconto	Campo di mine	9702	192.42
S011	-268.7521	949.3551	racconto	I fratelli Bagnasco	9240	188.52
S012	1013.57996	1830.6334	racconto	Ragionamento del cugino	7490	171.77
S013	-2093.5596	18.072378	racconto	Cinque dopodomani: guerra finita!	7287	169.58
S014	-27.797754	1275.3824	racconto	Alba sui rami nudi	13871	220.94
S015	669.1708	-1456.3386	racconto	Come non fui Noè (Buon a nulla)	9027	186.66
S016	-266.0962	816.1061	racconto	Ultimo viene il corvo	10809	201.04
S017	-89.33469	1490.9479	racconto	Visti alla mensa	8658	183.33
S018	-115.27556	779.8609	racconto	L'occhio del padrone	10063	195.33
S019	1458.5516	1497.3169	racconto	Come un volo d'anitre	11326	204.76
S020	-348.5329	1397.0278	racconto	La fame a Bévera	11391	205.22
S021	-383.73138	898.0897	racconto	Furto in una pasticceria	14106	222.28
S022	-575.5072	769.0252	racconto	Un bastimento carico di granchi	9906	194.08
S023	-97.83239	674.89124	racconto	I figli poltroni	9860	193.71
S024	-218.37558	705.0507	racconto	Il giardino incantato	8487	181.74
S025	-440.92365	1507.8794	racconto	Impiccagione di un giudice	15971	232.18
S026	-535.3236	935.65875	racconto	Il bosco degli animali	15495	229.77
S027	-463.4195	694.20026	racconto	Si dorme come cani	12910	215.21
S028	903.4646	-1564.7913	racconto	Com'era grande il mare	3554	112.29
S029	-173.43433	876.22894	racconto	Il gatto e il poliziotto	12933	215.35
S030	-329.06848	650.4366	racconto	Pranzo con un pastore	14313	223.44
S031	316.46912	1891.5339	racconto	Voglia di mare	5327	144.58
S032	397.2545	-1311.4147	racconto	Isabella e Fioravanti	9727	192.62
S033	-175.32025	1361.6193	racconto	Chi ha messo la mina nel mare?	10473	198.52
S034	-638.1531	872.18994	racconto	Dollari e vecchie mondane	21698	256.63
S035	1748.5598	26.074759	racconto	Freddo a Napoli	8005	177.08
S036	-1303.6913	-952.1917	racconto	Lasciare Anna	9089	187.21
S037	-680.6768	977.18036	racconto	Un pomeriggio, Adamo	16625	235.39
S038	239.84001	1101.9481	racconto	La casa degli alveari	7418	171
S039	51.672966	1407.2511	racconto	La stessa cosa del sangue	12987	215.68
S040	-254.9309	1528.6267	racconto	Attesa della morte in un albergo	15582	230.22
S041	-597.5071	1041.7206	racconto	Uno dei tre è ancora vivo	14887	226.58
S042	-192.21732	573.023	racconto	L'avventura di un soldato	19767	249.2
S043	95.76782	1150.1703	racconto	Desiderio in novembre	14101	222.25
S044	163.10173	-2055.3877	racconto	Lettera ad Amelia sui dischi volanti	7633	173.28
S045	1469.4125	-1351.2064	racconto	Storia del soldato che portò il cannone a casa	11610	206.74
S046	-634.6925	265.2197	racconto	Pesci grossi, pesci piccoli	16862	236.52
S047	409.0092	-1583.984	racconto	Cimitero di biciclette	12416	212.1
S048	-586.8734	356.25095	racconto	Mai nessuno degli uomini lo seppe	15006	227.21
S049	1124.4713	1055.0493	racconto	Il reggimento smarrito	10193	196.36
S050	-343.82718	184.8766	racconto	L'avventura di una bagnante	21333	255.28
S051	164.76549	2088.2136	racconto	Un compagno venuto da lontano	8251	179.49
S052	-889.8603	908.17664	racconto	Un bel gioco dura poco	11940	208.98
S053	-954.78125	544.60547	racconto	Funghi in città	6506	160.54
S054	-463.7305	228.06544	racconto	La formica argentina	71831	352.14
S055	-890.6831	451.83905	racconto	Il piccione comunale	4278	127.09
S056	-811.50616	254.6092	racconto	La pietanziera	7069	167.16
S057	1784.7507	1108.207	racconto	Gli occhi del nemico	7070	167.17
S058	1988.0121	666.9514	racconto	La fabbrica occupata	7735	174.34
S059	1153.3845	-1740.3434	racconto	La ragazza licenziata	7919	176.22
S060	1030.761	1534.414	racconto	Le disgrazie di un paese	6734	163.28
S061	-828.25977	134.44278	racconto	Il bosco sull'autostrada	5431	146.13
S062	-1045.8611	618.6141	racconto	La cura delle vespe	8053	177.55
S063	-1452.8944	-1483.4454	racconto	La storia di Kim-Ghi-U	10989	202.36
S064	-840.69257	676.14154	racconto	Paese infido	17761	240.66
S065	-565.42444	517.42004	racconto	Gli avanguardisti a Mentone	51188	325.11
S066	-992.3573	294.08063	racconto	L'aria buona	7594	172.87
S067	192.46173	946.5625	racconto	L'entrata in guerra	27190	274.63
S068	-465.37833	67.689896	racconto	L'avventura di un impiegato	17132	237.78
S069	-1862.6039	-387.88107	racconto	Un paese disgraziato	5596	148.51
S070	-2021.173	-578.7902	racconto	Il generale in biblioteca	10429	198.18
S071	-1701.7814	1170.8645	racconto	La fabbrica nella montagna	10615	199.59
S072	-422.56042	461.59787	racconto	Le notti dell'UNPA	39484	304.4
S073	543.9222	1715.0397	racconto	La bomba addormentata nel bosco	8394	180.86
S074	1735.6683	297.80634	racconto	Libertà! Libertà!	4546	131.94
S075	810.16736	1080.5901	racconto	I mozzatori di nasi	3962	120.97
S076	-2095.6062	349.3141	racconto	Dove va l'avvoltoio?	4867	137.38
S077	1052.24	805.2741	racconto	Il dittatore	4114	123.97
S078	-1370.0212	-666.3631	racconto	Lo jus primae noctis	7027	166.68
S079	2034.446	615.5036	racconto	L'adultera	6306	158.04
S080	-100.115036	-2126.317	racconto	La lente d'ingrandimento	4042	122.56
S081	1247.7457	1336.6714	racconto	I Marziani	4019	122.1
S082	800.6707	811.5377	racconto	La domenica delle follie	6485	160.28
S083	-925.8525	200.53589	racconto	Il coniglio velenoso	16872	236.56
S084	-162.15569	-371.36328	racconto	L'avventura di un fotografo	26301	271.98
S085	-874.2426	345.28976	racconto	Un viaggio con le mucche	8752	184.2
S086	-1020.9684	398.21036	racconto	Luna e Gnac	10513	198.82
S087	1573.0857	922.5732	racconto	La gran bonaccia delle Antille	8971	186.17
S088	-669.13184	73.47358	racconto	La speculazione edilizia	168428	420.13
S089	968.3485	1280.032	racconto	Dialogo sul satellite	8266	179.64
S090	1916.7897	-566.0608	racconto	Monologo notturno d'un nobile scozzese	7421	171.03
S091	786.97314	1648.2426	racconto	Una bella giornata di marzo	6351	158.61
S092	-699.525	451.85153	racconto	La gallina di reparto	17022	237.27
S093	-963.815	786.04767	racconto	La notte dei numeri	21230	254.89
S094	-102.47846	316.0961	racconto	L'avventura di un lettore	29812	281.98
S095	-241.74304	402.09225	racconto	La nuvola di smog	101390	379.64
S096	-824.6092	798.96985	racconto	La signora Paulatim	15161	228.03
S097	-87.7281	421.57016	racconto	L'avventura di un viaggiatore	30293	283.26
S098	-1066.0359	498.33102	racconto	La villeggiatura in panchina	14003	221.69
S099	-723.59705	605.6052	racconto	Va' così che vai bene	27454	275.41
S100	-256.64804	127.49452	racconto	Un letto di passaggio	10616	199.6
S101	-260.15118	256.5167	racconto	L'avventura di un miope	18975	245.93
S102	-392.20407	319.89978	racconto	L'avventura di una moglie	14457	224.24
S103	-157.86545	212.24341	racconto	L'avventura di due sposi	7814	175.15
S104	-381.61295	67.84789	racconto	L'avventura di un poeta	11830	208.24
S105	40.636562	-240.76476	racconto	L'avventura di uno sciatore	13850	220.82
S106	634.24316	-1731.9983	racconto	La strada di San Giovanni	83344	364
S107	-2075.7737	-251.22606	racconto	Diario in clinica	10815	201.08
S108	-1471.768	129.90665	racconto	Marcovaldo al supermarket	10606	199.52
S109	-1550.0143	575.88153	racconto	La pioggia e le foglie	12518	212.75
S110	-1348.6974	-34.576633	racconto	La fermata sbagliata	13030	215.95
S111	-1368.489	-209.1509	racconto	Fumo, vento e bolle di sapone	12414	212.08
S112	-1656.2725	434.71564	racconto	Un sabato di sole, sabbia e sonno	7838	175.4
S113	-1638.5781	55.556988	racconto	La città tutta per lui	6089	155.25
S114	-1514.5831	331.19666	racconto	Il giardino dei gatti ostinati	20899	253.64
S115	-1529.7828	-93.73959	racconto	I figli di Babbo Natale	15228	228.38
S116	-1191.9703	-219.89874	racconto	Dov'è più azzurro il fiume	5787	151.19
S117	-1678.2966	236.30461	racconto	La città smarrita nella neve	8741	184.1
S118	1041.0012	-616.5757	racconto	La distanza della Luna	29733	281.77
S119	1275.4908	-332.5397	racconto	Sul far del giorno	19463	247.96
S120	1399.9674	-524.64545	racconto	Un segno nello spazio	19237	247.03
S121	1158.0908	-924.9519	racconto	Tutto in un punto	9490	190.65
S122	1118.054	-347.9437	racconto	Senza colori	18946	245.81
S123	1192.7251	-199.0425	racconto	Fino a che dura il Sole	14692	225.52
S124	1164.3593	-558.50055	racconto	Lo zio acquatico	21396	255.51
S125	765.08057	-173.94806	racconto	La Luna come un fungo	16925	236.81
S126	1029.0035	-454.49185	racconto	Giochi senza fine	11691	207.3
S127	968.95233	-259.44986	racconto	I meteoriti	17758	240.65
S128	1176.0446	-765.56464	racconto	La forma dello spazio	15776	231.2
S129	1307.3851	-814.92303	racconto	Quanto scommettiamo	16962	236.99
S130	1236.2319	-452.181	racconto	I Dinosauri	32538	288.96
S131	1028.7323	-855.8998	racconto	Gli anni-luce	26660	273.06
S132	1356.3038	-671.60034	racconto	La spirale	27755	276.28
S133	699.0757	-742.1062	racconto	Ti con zero	27727	276.19
S134	533.54865	-672.79767	racconto	I. Mitosi	27482	275.49
S135	860.3404	-470.65717	racconto	L'inseguimento	26513	272.62
S136	826.40765	-339.32852	racconto	I cristalli	15771	231.18
S137	747.5509	-561.51166	racconto	L'origine degli uccelli	21376	255.44
S138	1171.6064	107.15325	racconto	La memoria del mondo	13732	220.13
S139	845.5192	-837.44147	racconto	Il sangue, il mare	21043	254.19
S140	502.8099	-239.12886	racconto	Il guidatore notturno	14578	224.9
S141	660.91656	-453.9579	racconto	La molle Luna	16603	235.28
S142	719.3474	-913.4771	racconto	II. Meiosi	18954	245.85
S143	575.3854	-817.8055	racconto	III. Morte	9299	189.03
S144	688.6779	-325.1103	racconto	Il conte di Montecristo	22375	259.08
S145	899.04315	-126.68754	racconto	Le figlie della Luna	23452	262.84
S146	1057.6321	-143.29279	racconto	Il cielo di pietra	13895	221.07
S147	897.89056	-630.0135	racconto	Tempesta solare	18603	244.35
S148	888.01904	151.25519	racconto	Le conchiglie e il tempo	7831	175.32
S149	716.66766	1394.3961	racconto	La decapitazione dei capi	25519	269.57
S150	1391.7465	1107.4092	racconto	Dall'opaco	22085	258.04
S151	301.9864	-1816.1757	racconto	Il nome, il naso	25010	267.97
S152	1253.371	1673.6565	racconto	La taverna dei destini incrociati	98779	377.56
S153	432.68616	-2041.9736	racconto	Ricordo di una battaglia	15654	230.58
S154	-1555.229	1363.7924	racconto	Autobiografia di uno spettatore	44046	313.12
S155	-96.371254	2077.3462	racconto	La pompa di benzina	12331	211.55
S156	1339.2753	485.5947	racconto	La glaciazione	6231	157.09
S157	-1607.6488	-1348.0948	racconto	L'uomo di Neanderthal	15168	228.07
S158	-1579.406	-749.84686	racconto	Montezuma	20699	252.87
S159	1084.1709	544.86926	racconto	Prima che tu dica «Pronto»	16064	232.65
S160	-55.17923	-1318.3821	racconto	La corsa delle giraffe	2780	92.7
S161	-892.7734	-1236.6671	racconto	Del modersi la lingua	3124	102.01
S162	-284.69247	-1472.002	racconto	Il fischio del merlo	9784	193.09
S163	-311.72058	-1151.6643	racconto	Del prendersela coi giovani	3072	100.67
S164	-527.8585	-1427.3545	racconto	Lettura di un'onda	8420	181.11
S165	-233.41068	-1313.6814	racconto	La pantofola spaiata	2992	98.56
S166	-753.9377	-1693.4419	racconto	Un chilo e mezzo di grasso d'oca	4952	138.76
S167	-699.4729	1989.3433	racconto	Altre città	6749	163.46
S168	-695.264	-988.8343	racconto	Serpenti e teschi	5772	150.99
S169	1538.967	300.21902	racconto	Il richiamo dell'acqua	8736	184.05
S170	-106.56895	-1157.0592	racconto	L'aiola di sabbia	5037	140.12
S171	-1193.7089	1702.4004	racconto	La poubelle agréée	41079	307.56
S172	-817.6036	-1095.2704	racconto	Il seno nudo	5137	141.69
S173	-1849.3158	964.2509	racconto	Il crollo del tempo	8431	181.21
S174	2053.3965	-520.69714	racconto	Parafrasi	3825	118.16
S175	-1424.0044	-1015.758	racconto	Lo specchio e il bersaglio	12906	215.18
S176	758.2662	1934.441	racconto	La coscienza a posto	7552	172.43
S177	-970.7933	1855.742	racconto	Quattro favole d'Esopo per Valerio Adami	7490	171.77
S178	-273.0938	-1730.051	racconto	Il gorilla albino	4684	134.32
S179	-1934.757	-741.905	racconto	L'altra euridice	16915	236.77
S180	799.4593	544.26086	racconto	Essere pietra (per Alberto Magnelli)	4167	124.99
S181	-1276.9683	-1697.6637	racconto	Le memorie di Casanova	18849	245.4
S182	-489.96255	-1100.1608	racconto	L'invasione degli storni	9054	186.9
S183	1848.8058	-229.95189	racconto	Il silenzio e la città	12343	211.63
S184	-905.5704	-1399.4575	racconto	L'occhio e i pianeti	8184	178.84
S185	-1667.783	-571.41364	racconto	Sapore Sapere	41220	307.83
S186	-711.9151	-1491.8196	racconto	Il mondo guarda il mondo	3938	120.48
S187	-603.16724	-1781.1465	racconto	La pancia del geco	6400	159.22
S188	1542.4518	655.5681	racconto	Quattro studi dal vero	14889	226.59
S189	1394.8181	-1582.4666	racconto	Viaggio nelle città di de Chirico	17663	240.22
S190	-81.67053	-1480.0911	racconto	La spada del sole	9267	188.76
S191	-441.28256	-1290.6014	racconto	La contemplazione delle stelle	8612	182.91
S192	-721.263	-1319.0083	racconto	Gli amori delle tartarughe	3998	121.69
S193	-433.14618	-1783.2927	racconto	Il prato infinito	6978	166.12
S194	-867.7863	-1564.6237	racconto	Luna di pomeriggio	4615	133.14
S195	-207.2494	-1017.2038	racconto	Dal terrazzo	7605	172.99
S196	-395.63043	-1593.8931	racconto	Il museo dei formaggi	6229	157.06
S197	-540.5921	-931.42786	racconto	Il marmo e il sangue	4138	124.43
S198	-153.85689	-1621.6388	racconto	L'ordine degli squamati	6634	162.09
S199	-367.5502	-951.1512	racconto	Il modello dei modelli	6836	164.48
S200	-572.6799	-1613.2755	racconto	L'universo come specchio	7002	166.4
S201	-641.33014	-1177.2172	racconto	Come imparare a essere morto	9295	189
S202	1685.3381	-1246.8644	racconto	L'ultimo canale	12804	214.55
S203	1934.5382	-806.0123	racconto	Il ricordo è bendato	11582	206.55
S204	919.71533	-1852.7349	racconto	Un re in ascolto	46528	317.49
S205	485.21182	-534.1486	racconto	Il niente e il poco	15867	231.66
S206	926.6791	-1007.82025	racconto	L'implosione	9364	189.59
V001	2095.2495	-295.47308	romanzo	Il sentiero dei nidi di ragno	249888	451.6
V003	-1385.9233	1539.2275	ibrido	Il visconte dimezzato	138103	404.29
V005	2054.1567	271.75433	romanzo	Il barone rampante	416814	492.42
V007	-1995.805	703.9138	ibrido	La formica argentina	71854	352.17
V008	686.4304	-1978.5665	romanzo	Il cavaliere inesistente	197268	432.74
V009	1311.4498	800.8672	ibrido	La giornata di uno scrutatore	121328	393.96
V010	511.39584	2041.6853	ibrido	La speculazione edilizia	191068	430.19
V016	1151.1055	-1458.7787	romanzo	Il castello dei destini incrociati	62895	341.54
V018	1605.1946	1289.542	romanzo	Le città invisibili	146738	409.13
V019	1797.1797	-1019.2304	romanzo	Il castello dei destini incrociati (riediz)	120000	393.08
V020	-1051.0406	-673.79645	ibrido	Eremita a Parigi	430338	494.97
V021	-1811.9153	-1066.0593	romanzo	Se una notte d'inverno un viaggiatore	458335	500
